"term","med","med_sd","min","max","justice","just_pr","Harlan","Black","Douglas","Stewart","Marshall","Brennan","White","Warren","Clark","Frankfurter","Whittaker","Burton","Reed","Fortas","Goldberg","Minton","Jackson","Burger","Blackmun","Powell","Rehnquist","Stevens","OConnor","Scalia","Kennedy","Souter","Thomas","Ginsburg","Breyer","Rutledge","Murphy","Vinson","Byrnes","Sutherland","Cardozo","Brandeis","Butler","McReynolds","Hughes","ORoberts","Stone","Roberts","Alito","Sotomayor","Kagan"
"1937a",-0.38,0.338,-2.935,2.945,"Hughes",0.526,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0076,0.3288,0,0,0.5263,0.0809,0.0564,,,,
"1937b",-0.562,0.338,-2.935,2.898,"Brandeis",0.419,,0,,,,,,,,,,,0.0819,,,,,,,,,,,,,,,,,,,,,,0.0162,0.4187,0,0,0.3097,0.0147,0.1588,,,,
"1938a",-0.51,0.361,-3.191,2.917,"Brandeis",0.55,,0,,,,,,,,0.0165,,,0.0209,,,,,,,,,,,,,,,,,,,,,,,0.5504,0,0,0.2376,0.0001,0.1745,,,,
"1938b",-0.745,0.344,-3.258,2.917,"Stone",0.756,,0,0,,,,,,,0.0738,,,0.135,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0354,0,0.7558,,,,
"1939",-0.99,0.356,-3.361,2.67,"Reed",0.53,,0,0,,,,,,,0.22,,,0.53,,,,,,,,,,,,,,,,,,0.0469,,,,,,,0,0,0,0.2031,,,,
"1940",-0.576,0.345,-3.402,2.259,"Reed",0.52,,0,0,,,,,,,0.3501,,,0.52,,,,,,,,,,,,,,,,,,0.0003,,,,,,,0,0,0,0.1296,,,,
"1941",-0.134,0.331,-3.299,1.939,"Byrnes",0.415,,0,0,,,,,,,0.1465,,,0.3729,,,,0.057,,,,,,,,,,,,,,0,,0.4154,,,,,,,0,0.0082,,,,
"1942",0.091,0.328,-3.021,2.204,"Reed",0.486,,0,0,,,,,,,0.0514,,,0.4856,,,,0.2343,,,,,,,,,,,,,0,0,,,,,,,,,0,0.2287,,,,
"1943",-0.029,0.33,-2.683,2.585,"Reed",0.618,,0,0,,,,,,,0.0105,,,0.6183,,,,0.184,,,,,,,,,,,,,0,0,,,,,,,,,0,0.1872,,,,
"1944",-0.211,0.325,-2.515,2.946,"Reed",0.98,,0,0,,,,,,,0.0017,,,0.9805,,,,0.0177,,,,,,,,,,,,,0,0,,,,,,,,,0,0.0001,,,,
"1945",-0.023,0.31,-2.16,0.86,"Reed",0.928,,0,0,,,,,,,0.0056,,0.0288,0.9278,,,,0.0203,,,,,,,,,,,,,0,0,,,,,,,,,,0.0175,,,,
"1946",0.221,0.26,-2.016,1.151,"Reed",0.735,,0,0,,,,,,,0.0003,,0.0628,0.7352,,,,0,,,,,,,,,,,,,0,0,0.2017,,,,,,,,,,,,,
"1947",0.477,0.23,-1.978,1.224,"Reed",0.498,,0,0,,,,,,,0.0307,,0.0266,0.4976,,,,0.0012,,,,,,,,,,,,,0,0,0.4439,,,,,,,,,,,,,
"1948",0.563,0.25,-2.009,1.35,"Frankfurter",0.522,,0,0,,,,,,,0.5218,,0.0337,0.3779,,,,0.0002,,,,,,,,,,,,,0,0,0.0664,,,,,,,,,,,,,
"1949",0.879,0.286,-1.816,1.403,"Burton",0.233,,0,0,,,,,,0.1702,0.0233,,0.233,0.1663,,,0.1089,0.1725,,,,,,,,,,,,,,,0.1258,,,,,,,,,,,,,
"1950",0.915,0.284,-1.746,1.481,"Burton",0.308,,0,0,,,,,,0.1943,0.0019,,0.3077,0.1233,,,0.0594,0.2148,,,,,,,,,,,,,,,0.0986,,,,,,,,,,,,,
"1951",0.908,0.317,-1.803,1.582,"Burton",0.456,,0,0,,,,,,0.1311,0.0002,,0.456,0.1196,,,0.0471,0.2212,,,,,,,,,,,,,,,0.0248,,,,,,,,,,,,,
"1952",1.024,0.393,-2.359,1.548,"Clark",0.25,,0,0,,,,,,0.2503,0,,0.1526,0.1108,,,0.1831,0.1982,,,,,,,,,,,,,,,0.105,,,,,,,,,,,,,
"1953",0.575,0.421,-2.964,1.552,"Clark",0.521,,0,0,,,,,0.0062,0.5211,0.1944,,0.0024,0.0004,,,0.1336,0.1419,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1954",0.405,0.446,-3.567,1.557,"Frankfurter",0.707,0.0569,0,0,,,,,0.0001,0.1975,0.7072,,0.0004,0.0002,,,0.0377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1955",0.644,0.481,-4.032,1.398,"Frankfurter",0.681,0.0355,0,0,,,,,0,0.0101,0.6813,,0.0062,0.0662,,,0.2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1956a",0.26,0.502,-4.428,1.448,"Clark",0.97,0,0,0,,,0,,0,0.9696,0.0063,,0,0.0241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1956b",0.262,0.502,-4.428,1.459,"Clark",0.987,0,0,0,,,0,,0,0.9867,0.0068,0.0065,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1957",0.608,0.534,-4.73,1.656,"Clark",0.956,0,0,0,,,0,,0,0.9562,0.004,0.0247,0.0151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1958",0.538,0.569,-4.965,1.844,"Clark",0.91,0,0,0,0.0889,,0,,0,0.9104,0.0001,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1959",0.419,0.617,-5.118,1.986,"Clark",0.855,0,0,0,0.1446,,0,,0,0.8554,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960",0.52,0.666,-5.253,2.085,"Stewart",0.859,0,0,0,0.8586,,0,,0,0.1407,0,0.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1961",0.144,0.715,-5.373,2.332,"White",0.462,0,0,0,0.2041,,0.0118,0.4617,0,0.32,0,0.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1962",-0.777,0.766,-5.467,2.507,"Goldberg",0.765,0,0.0006,0,0,,0.2179,0.0012,0.0153,0.0001,,,,,,0.7649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1963",-0.804,0.803,-5.58,2.519,"Brennan",0.593,0,0.0089,0,0,,0.5932,0.0002,0.0284,0,,,,,,0.3693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
