"term","justice","justiceName","code","post_mn","post_sd","post_med","post_025","post_975"
2005,112,"Alito","ALTO",1.523,0.369,1.516,0.818,2.248
2006,112,"Alito","ALTO",1.536,0.31,1.524,0.961,2.172
2007,112,"Alito","ALTO",1.62,0.306,1.608,1.04,2.242
2008,112,"Alito","ALTO",1.839,0.305,1.83,1.262,2.454
2009,112,"Alito","ALTO",1.874,0.324,1.864,1.257,2.53
2010,112,"Alito","ALTO",2.047,0.333,2.04,1.422,2.723
2011,112,"Alito","ALTO",2.098,0.346,2.087,1.458,2.799
2012,112,"Alito","ALTO",2.141,0.365,2.13,1.465,2.892
2013,112,"Alito","ALTO",2.13,0.392,2.114,1.422,2.955
2014,112,"Alito","ALTO",2.037,0.426,2.02,1.262,2.932
1937,78,"Black","BLC",-2.908,0.333,-2.904,-3.572,-2.261
1938,78,"Black","BLC",-3.191,0.361,-3.189,-3.926,-2.504
1939,78,"Black","BLC",-3.278,0.385,-3.271,-4.067,-2.542
1940,78,"Black","BLC",-3.306,0.383,-3.299,-4.088,-2.592
1941,78,"Black","BLC",-3.199,0.374,-3.19,-3.949,-2.496
1942,78,"Black","BLC",-2.944,0.368,-2.935,-3.692,-2.244
1943,78,"Black","BLC",-2.624,0.366,-2.616,-3.373,-1.932
1944,78,"Black","BLC",-2.503,0.336,-2.491,-3.196,-1.88
1945,78,"Black","BLC",-2.122,0.34,-2.111,-2.81,-1.479
1946,78,"Black","BLC",-1.932,0.306,-1.92,-2.543,-1.369
1947,78,"Black","BLC",-1.801,0.282,-1.788,-2.378,-1.28
1948,78,"Black","BLC",-1.646,0.273,-1.634,-2.213,-1.134
1949,78,"Black","BLC",-1.678,0.317,-1.671,-2.309,-1.081
1950,78,"Black","BLC",-1.633,0.3,-1.628,-2.25,-1.077
1951,78,"Black","BLC",-1.525,0.279,-1.515,-2.099,-1.001
1952,78,"Black","BLC",-1.24,0.257,-1.229,-1.777,-0.774
1953,78,"Black","BLC",-1.576,0.273,-1.568,-2.131,-1.061
1954,78,"Black","BLC",-1.65,0.291,-1.646,-2.239,-1.103
1955,78,"Black","BLC",-1.931,0.295,-1.922,-2.53,-1.377
1956,78,"Black","BLC",-2.115,0.283,-2.106,-2.693,-1.581
1957,78,"Black","BLC",-2.174,0.277,-2.166,-2.736,-1.645
1958,78,"Black","BLC",-2.056,0.282,-2.046,-2.631,-1.522
1959,78,"Black","BLC",-2.017,0.272,-2.012,-2.569,-1.506
1960,78,"Black","BLC",-1.892,0.271,-1.886,-2.448,-1.373
1961,78,"Black","BLC",-1.793,0.277,-1.788,-2.351,-1.265
1962,78,"Black","BLC",-1.704,0.26,-1.696,-2.235,-1.216
1963,78,"Black","BLC",-1.468,0.246,-1.464,-1.974,-1
1964,78,"Black","BLC",-0.979,0.242,-0.974,-1.458,-0.517
1965,78,"Black","BLC",-0.604,0.21,-0.599,-1.025,-0.201
1966,78,"Black","BLC",-0.318,0.17,-0.315,-0.66,0.012
1967,78,"Black","BLC",-0.107,0.178,-0.107,-0.456,0.238
1968,78,"Black","BLC",-0.008,0.189,-0.006,-0.385,0.365
1969,78,"Black","BLC",0.079,0.193,0.079,-0.305,0.46
1970,78,"Black","BLC",0.06,0.185,0.058,-0.3,0.425
1970,100,"Blackmun","BLKM",1.896,0.305,1.887,1.325,2.518
1971,100,"Blackmun","BLKM",1.841,0.252,1.835,1.364,2.358
1972,100,"Blackmun","BLKM",1.493,0.223,1.485,1.077,1.946
1973,100,"Blackmun","BLKM",1.339,0.209,1.332,0.953,1.766
1974,100,"Blackmun","BLKM",1.058,0.207,1.056,0.666,1.477
1975,100,"Blackmun","BLKM",0.881,0.185,0.876,0.535,1.257
1976,100,"Blackmun","BLKM",0.654,0.172,0.65,0.328,0.999
1977,100,"Blackmun","BLKM",0.272,0.178,0.27,-0.077,0.628
1978,100,"Blackmun","BLKM",0.104,0.16,0.104,-0.211,0.422
1979,100,"Blackmun","BLKM",-0.075,0.156,-0.073,-0.384,0.23
1980,100,"Blackmun","BLKM",-0.166,0.166,-0.166,-0.495,0.16
1981,100,"Blackmun","BLKM",-0.489,0.168,-0.488,-0.825,-0.166
1982,100,"Blackmun","BLKM",-0.561,0.172,-0.559,-0.902,-0.234
1983,100,"Blackmun","BLKM",-0.102,0.162,-0.102,-0.422,0.217
1984,100,"Blackmun","BLKM",-0.23,0.169,-0.229,-0.571,0.092
1985,100,"Blackmun","BLKM",-0.789,0.178,-0.787,-1.146,-0.442
1986,100,"Blackmun","BLKM",-0.956,0.179,-0.952,-1.322,-0.621
1987,100,"Blackmun","BLKM",-0.963,0.205,-0.96,-1.364,-0.57
1988,100,"Blackmun","BLKM",-0.998,0.192,-0.992,-1.386,-0.631
1989,100,"Blackmun","BLKM",-0.881,0.191,-0.877,-1.262,-0.519
1990,100,"Blackmun","BLKM",-1.187,0.227,-1.18,-1.645,-0.759
1991,100,"Blackmun","BLKM",-1.445,0.266,-1.439,-1.98,-0.938
1992,100,"Blackmun","BLKM",-1.599,0.303,-1.588,-2.227,-1.043
1993,100,"Blackmun","BLKM",-1.863,0.356,-1.848,-2.596,-1.203
1937,68,"Brandeis","BRAN",-0.54,0.251,-0.533,-1.055,-0.069
1938,68,"Brandeis","BRAN",-0.505,0.276,-0.496,-1.063,0.018
1956,92,"Brennan","BRN",-0.619,0.205,-0.613,-1.034,-0.234
1957,92,"Brennan","BRN",-0.745,0.183,-0.741,-1.113,-0.402
1958,92,"Brennan","BRN",-0.747,0.191,-0.743,-1.128,-0.385
1959,92,"Brennan","BRN",-0.902,0.192,-0.898,-1.294,-0.538
1960,92,"Brennan","BRN",-0.915,0.193,-0.911,-1.309,-0.544
1961,92,"Brennan","BRN",-0.773,0.208,-0.771,-1.194,-0.368
1962,92,"Brennan","BRN",-1.017,0.204,-1.015,-1.427,-0.631
1963,92,"Brennan","BRN",-0.877,0.205,-0.873,-1.288,-0.483
1964,92,"Brennan","BRN",-0.743,0.224,-0.74,-1.194,-0.312
1965,92,"Brennan","BRN",-0.905,0.22,-0.899,-1.353,-0.487
1966,92,"Brennan","BRN",-1.054,0.211,-1.046,-1.489,-0.661
1967,92,"Brennan","BRN",-1.104,0.226,-1.099,-1.558,-0.673
1968,92,"Brennan","BRN",-0.976,0.225,-0.968,-1.432,-0.553
1969,92,"Brennan","BRN",-0.888,0.226,-0.884,-1.347,-0.462
1970,92,"Brennan","BRN",-0.986,0.21,-0.981,-1.416,-0.592
1971,92,"Brennan","BRN",-1.144,0.21,-1.137,-1.572,-0.746
1972,92,"Brennan","BRN",-1.411,0.221,-1.403,-1.862,-1.003
1973,92,"Brennan","BRN",-1.749,0.243,-1.741,-2.245,-1.3
1974,92,"Brennan","BRN",-2.034,0.288,-2.027,-2.62,-1.492
1975,92,"Brennan","BRN",-2.604,0.305,-2.599,-3.226,-2.024
1976,92,"Brennan","BRN",-2.896,0.333,-2.886,-3.572,-2.27
1977,92,"Brennan","BRN",-3.006,0.352,-2.999,-3.707,-2.334
1978,92,"Brennan","BRN",-2.992,0.357,-2.979,-3.702,-2.308
1979,92,"Brennan","BRN",-2.955,0.351,-2.943,-3.672,-2.293
1980,92,"Brennan","BRN",-2.803,0.362,-2.794,-3.541,-2.114
1981,92,"Brennan","BRN",-2.787,0.359,-2.771,-3.515,-2.125
1982,92,"Brennan","BRN",-2.627,0.376,-2.609,-3.41,-1.937
1983,92,"Brennan","BRN",-2.922,0.363,-2.908,-3.67,-2.242
1984,92,"Brennan","BRN",-3.133,0.378,-3.12,-3.908,-2.427
1985,92,"Brennan","BRN",-3.238,0.398,-3.229,-4.051,-2.503
1986,92,"Brennan","BRN",-3.498,0.408,-3.485,-4.327,-2.734
1987,92,"Brennan","BRN",-3.578,0.432,-3.569,-4.468,-2.773
1988,92,"Brennan","BRN",-3.684,0.463,-3.67,-4.651,-2.824
1989,92,"Brennan","BRN",-3.737,0.514,-3.716,-4.808,-2.783
1994,110,"Breyer","BRY",-0.508,0.249,-0.5,-1.019,-0.05
1995,110,"Breyer","BRY",-0.745,0.24,-0.737,-1.236,-0.288
1996,110,"Breyer","BRY",-0.995,0.236,-0.988,-1.468,-0.544
1997,110,"Breyer","BRY",-1.073,0.248,-1.067,-1.578,-0.609
1998,110,"Breyer","BRY",-1.062,0.247,-1.058,-1.553,-0.596
1999,110,"Breyer","BRY",-1.058,0.243,-1.049,-1.554,-0.605
2000,110,"Breyer","BRY",-1.419,0.254,-1.412,-1.932,-0.929
2001,110,"Breyer","BRY",-1.429,0.261,-1.421,-1.957,-0.935
2002,110,"Breyer","BRY",-1.402,0.274,-1.396,-1.948,-0.879
2003,110,"Breyer","BRY",-1.319,0.266,-1.315,-1.866,-0.814
2004,110,"Breyer","BRY",-1.205,0.268,-1.198,-1.752,-0.7
2005,110,"Breyer","BRY",-1.438,0.277,-1.43,-1.983,-0.913
2006,110,"Breyer","BRY",-1.527,0.271,-1.518,-2.075,-1.02
2007,110,"Breyer","BRY",-1.429,0.275,-1.427,-1.982,-0.908
2008,110,"Breyer","BRY",-1.216,0.257,-1.209,-1.744,-0.737
2009,110,"Breyer","BRY",-1.336,0.266,-1.334,-1.875,-0.836
2010,110,"Breyer","BRY",-1.416,0.272,-1.408,-1.97,-0.904
2011,110,"Breyer","BRY",-1.415,0.28,-1.407,-1.987,-0.894
2012,110,"Breyer","BRY",-1.43,0.298,-1.422,-2.041,-0.872
2013,110,"Breyer","BRY",-1.549,0.338,-1.54,-2.238,-0.909
2014,110,"Breyer","BRY",-1.729,0.382,-1.717,-2.517,-1.015
1969,99,"Burger","BURG",2.011,0.38,1.996,1.309,2.803
1970,99,"Burger","BURG",2.251,0.336,2.238,1.624,2.942
1971,99,"Burger","BURG",2.497,0.302,2.487,1.928,3.124
1972,99,"Burger","BURG",2.322,0.288,2.312,1.775,2.91
1973,99,"Burger","BURG",2.266,0.279,2.262,1.743,2.826
1974,99,"Burger","BURG",2.183,0.284,2.176,1.635,2.758
1975,99,"Burger","BURG",2.035,0.269,2.03,1.526,2.579
1976,99,"Burger","BURG",1.926,0.256,1.922,1.441,2.443
1977,99,"Burger","BURG",1.595,0.245,1.586,1.134,2.094
1978,99,"Burger","BURG",1.452,0.23,1.445,1.019,1.925
1979,99,"Burger","BURG",1.214,0.214,1.211,0.815,1.65
1980,99,"Burger","BURG",1.389,0.234,1.383,0.948,1.871
1981,99,"Burger","BURG",1.5,0.226,1.491,1.081,1.968
1982,99,"Burger","BURG",1.362,0.232,1.357,0.922,1.836
1983,99,"Burger","BURG",1.54,0.249,1.528,1.085,2.056
1984,99,"Burger","BURG",1.865,0.271,1.858,1.353,2.421
1985,99,"Burger","BURG",2.004,0.313,1.994,1.421,2.658
